Master_ID,Source_System,Source_ID,Title,Severity_Rating,Status,Owner,Region,Business,Risk_Category,Date_Identified,Due_Date,Closed_Date,Last_Update_Date,Last_Update_Status,Last_Update_Note,As_Of_Date
M-0001,Findings,F-1001,Excessive access - App-2210 shared accounts,Medium,Open,L. Farrow,EMEA,Payments,Access Management,2025-07-10,2026-07-29,,2026-07-26,On Track,,2026-08-02
M-0002,Findings,F-1002,Risk acceptance missing formal approval - CW-118,Low,Open,M. Chen,EMEA,Technology Infrastructure,Governance & Documentation,2025-11-28,2026-08-05,,2026-07-22,Off Track,Documentation updates are pending sign-off from a second stakeholder group whose availability has been limited. Follow-up has been scheduled to secure the required approval.,2026-08-02
M-0003,Findings,F-1003,Vendor SOC1/SOC2 exceptions not tracked - NorthBridge Tech,Low,Closed,L. Farrow,EMEA,Retail Banking,Third Party Risk,2026-02-09,2026-06-11,2026-05-28,,,,2026-08-02
M-0004,Findings,F-1004,Vendor SOC1/SOC2 exceptions not tracked - Vantage Processing,Medium,Overdue,D. Whitfield,EMEA,Payments,Third Party Risk,2025-09-13,2026-07-14,,2026-07-16,Off Track,The vendor has not yet returned the updated assurance report needed to close this item. Escalation to vendor management is in progress to expedite the response.,2026-08-02
M-0005,Findings,F-1005,Unencrypted data at rest - DataLake-EMEA,Medium,In Remediation,P. Singh,EMEA,Enterprise,Data Protection,2026-06-27,2026-08-10,,2026-08-01,On Track,,2026-08-02
M-0006,Findings,F-1006,Open ports identified on Payments Gateway,High,Closed,D. Whitfield,US,Technology Infrastructure,Network Security,2025-05-24,2025-07-12,2025-08-29,,,,2026-08-02
M-0007,Findings,F-1007,Risk acceptance missing formal approval - App-3391,Medium,Closed,S. Patel,US,Technology Infrastructure,Governance & Documentation,2025-11-01,2026-02-05,2026-02-02,,,,2026-08-02
M-0008,Findings,F-1008,Critical vulnerability unpatched - App-4470,High,Open,R. Osei,US,Payments,Patch Management,2026-07-05,2026-09-07,,2026-07-31,On Track,,2026-08-02
M-0009,Findings,F-1009,Application criticality tier undocumented - Treasury-Sys,Medium,Closed,M. Chen,EMEA,Payments,Governance & Documentation,2025-10-04,2026-01-02,2025-12-03,,,,2026-08-02
M-0010,Findings,F-1010,Stale firewall rules - Mobile Banking App segment,Low,Open,D. Whitfield,US,Payments,Network Security,2026-04-10,2026-10-24,,2026-07-24,On Track,,2026-08-02
M-0011,Findings,F-1011,Vendor SOC1/SOC2 exceptions not tracked - Acme Cloud Services,High,Closed,K. Brooks,US,Enterprise,Third Party Risk,2025-09-14,2025-10-29,2025-12-13,,,,2026-08-02
M-0012,Findings,F-1012,Payment gateway logging incomplete - Wire Transfer Platform,Low,In Remediation,A. Kowalski,US,Payments,Application Security,2026-06-13,2026-10-30,,2026-07-30,On Track,,2026-08-02
M-0013,Findings,F-1013,Public cloud storage bucket exposure - App-2210,High,Overdue,L. Farrow,EMEA,Retail Banking,Cloud Security,2025-03-28,2026-04-16,,2026-07-18,On Track,,2026-08-02
M-0014,Findings,F-1014,End-of-life software still in use - CW-118,Medium,In Remediation,T. Nguyen,US,Retail Banking,Patch Management,2025-05-12,2026-12-01,,2026-07-30,Off Track,Patching has been delayed due to an application compatibility test that failed in the last cycle. The vendor has been engaged to provide an updated patch.,2026-08-02
M-0015,Findings,F-1015,Public cloud storage bucket exposure - Core Banking Platform,High,Open,D. Whitfield,EMEA,Retail Banking,Cloud Security,2026-06-14,2026-08-04,,2026-08-01,On Track,,2026-08-02
M-0016,Findings,F-1016,Stale firewall rules - CRM-Retail segment,Medium,Overdue,A. Kowalski,US,Enterprise,Network Security,2025-04-12,2026-05-29,,2026-07-22,Off Track,Firewall rule remediation requires a change window that has been delayed twice due to competing priorities. The next available change window is being scheduled with network operations.,2026-08-02
M-0017,Findings,F-1017,Insecure API endpoint identified - DataLake-EMEA,Medium,Closed,T. Nguyen,EMEA,Enterprise,Application Security,2025-10-30,2026-01-21,2026-03-04,,,,2026-08-02
M-0018,Findings,F-1018,Unencrypted data at rest - Payments Gateway,Low,Open,D. Whitfield,US,Technology Infrastructure,Data Protection,2025-09-07,2026-11-09,,2026-07-26,On Track,,2026-08-02
M-0019,Findings,F-1019,Stale user access not deprovisioned - App-3391,Medium,Open,M. Chen,US,Payments,Access Management,2025-05-30,2026-09-10,,2026-07-21,On Track,,2026-08-02
M-0020,Findings,F-1020,Critical vulnerability unpatched - App-4470,High,Closed,D. Whitfield,EMEA,Technology Infrastructure,Patch Management,2025-05-06,2025-07-10,2025-06-05,,,,2026-08-02
M-0021,Findings,F-1021,Patch compliance gap - Treasury-Sys,Medium,Open,D. Whitfield,EMEA,Technology Infrastructure,Patch Management,2025-05-26,2026-07-21,,2026-07-19,On Track,,2026-08-02
M-0022,Findings,F-1022,Stale user access not deprovisioned - Mobile Banking App,Low,Overdue,T. Nguyen,US,Technology Infrastructure,Access Management,2026-01-29,2026-06-19,,2026-07-22,On Track,,2026-08-02
