Finding_ID,Title,Severity,Status,Date_Identified,Target_Remediation_Date,Closed_Date,Owner,Region,Business,Risk_Category,Analyst,Analyst_Received_Date,Analyst_Decision,Analyst_Decision_Date,Second_Line_Review_Date,Second_Line_Result,Last_Update_Date,Last_Update_Status,Last_Update_Note
F-1001,Excessive access - App-2210 shared accounts,Medium,Open,2025-07-10,2026-07-29,,L. Farrow,EMEA,Payments,Access Management,E. Marsh,2025-07-11,Approved,2025-07-13,,,2026-07-26,On Track,
F-1002,Risk acceptance missing formal approval - CW-118,Low,Open,2025-11-28,2026-08-05,,M. Chen,EMEA,Technology Infrastructure,Governance & Documentation,O. Adeyemi,2026-07-20,,,,,2026-07-22,Off Track,Documentation updates are pending sign-off from a second stakeholder group whose availability has been limited. Follow-up has been scheduled to secure the required approval.
F-1003,Vendor SOC1/SOC2 exceptions not tracked - NorthBridge Tech,Low,Closed,2026-02-09,2026-06-11,2026-05-28,L. Farrow,EMEA,Retail Banking,Third Party Risk,B. Torres,2026-02-10,Approved,2026-02-25,,,,,
F-1004,Vendor SOC1/SOC2 exceptions not tracked - Vantage Processing,Medium,Overdue,2025-09-13,2026-07-14,,D. Whitfield,EMEA,Payments,Third Party Risk,E. Marsh,2026-07-18,,,,,2026-07-16,Off Track,The vendor has not yet returned the updated assurance report needed to close this item. Escalation to vendor management is in progress to expedite the response.
F-1005,Unencrypted data at rest - DataLake-EMEA,Medium,In Remediation,2026-06-27,2026-08-10,,P. Singh,EMEA,Enterprise,Data Protection,F. Nakamura,2026-06-29,Approved,2026-07-04,,,2026-08-01,On Track,
F-1006,Open ports identified on Payments Gateway,High,Closed,2025-05-24,2025-07-12,2025-08-29,D. Whitfield,US,Technology Infrastructure,Network Security,V. Kowalczyk,2025-05-25,Rejected - Returned to Owner,2025-06-01,,,,,
F-1007,Risk acceptance missing formal approval - App-3391,Medium,Closed,2025-11-01,2026-02-05,2026-02-02,S. Patel,US,Technology Infrastructure,Governance & Documentation,E. Marsh,2025-11-01,Approved,2025-11-03,,,,,
F-1008,Critical vulnerability unpatched - App-4470,High,Open,2026-07-05,2026-09-07,,R. Osei,US,Payments,Patch Management,V. Kowalczyk,2026-07-18,,,,,2026-07-31,On Track,
F-1009,Application criticality tier undocumented - Treasury-Sys,Medium,Closed,2025-10-04,2026-01-02,2025-12-03,M. Chen,EMEA,Payments,Governance & Documentation,O. Adeyemi,2025-10-04,Approved,2025-10-07,,,,,
F-1010,Stale firewall rules - Mobile Banking App segment,Low,Open,2026-04-10,2026-10-24,,D. Whitfield,US,Payments,Network Security,B. Torres,2026-04-12,,,,,2026-07-24,On Track,
