Issue_ID,Title,Linked_Finding_ID,Risk_Rating,Status,Region,Business,Risk_Category,Date_Identified,Target_Remediation_Date,Closed_Date,Owner,Analyst,Analyst_Received_Date,Analyst_Decision,Analyst_Decision_Date,Second_Line_Review_Date,Second_Line_Result,Last_Update_Date,Last_Update_Status,Last_Update_Note
EI-0501,Control procedure out of date - App-2210,F-1010,Low,Closed,US,Payments,Governance & Documentation,2026-07-19,2026-11-13,2026-10-04,S. Patel,F. Nakamura,2026-07-21,Approved,2026-08-01,,,,,
EI-0502,Insecure API endpoint identified - CW-118,F-1015,High,In Remediation,US,Enterprise,Application Security,2025-07-05,2026-08-09,,A. Kowalski,V. Kowalczyk,2026-07-23,,,,,2026-07-28,Off Track,The required code fix is more complex than originally scoped and has been re-prioritized into the next development sprint. Delivery is now expected in the following release cycle.
EI-0503,Third-party penetration test overdue - NorthBridge Tech,F-1024,Medium,Overdue,US,Retail Banking,Third Party Risk,2026-06-04,2026-06-19,,L. Farrow,B. Torres,2026-06-07,Approved,2026-06-10,,,2026-07-28,On Track,
EI-0504,Third-party penetration test overdue - Vantage Processing,,Medium,Open,EMEA,Retail Banking,Third Party Risk,2026-06-13,2026-10-27,,T. Nguyen,B. Torres,2026-06-14,Approved,2026-06-23,,,2026-07-20,On Track,
EI-0505,Privileged access review overdue - DataLake-EMEA,F-1011,Low,Closed,US,Technology Infrastructure,Access Management,2026-04-15,2026-08-04,2026-06-28,P. Singh,F. Nakamura,2026-04-16,Approved,2026-04-21,,,,,
EI-0506,Insecure API endpoint identified - Payments Gateway,F-1003,High,Open,EMEA,Retail Banking,Application Security,2025-10-17,2026-07-15,,L. Farrow,B. Torres,2025-10-20,Approved - Sent to 2LOD,2025-11-04,2025-11-06,Fail,2026-07-26,Off Track,The required code fix is more complex than originally scoped and has been re-prioritized into the next development sprint. Delivery is now expected in the following release cycle.
EI-0507,Missing MFA on privileged accounts - App-3391,F-1007,Low,Closed,US,Technology Infrastructure,Access Management,2025-07-07,2025-11-14,2025-12-29,T. Nguyen,O. Adeyemi,2025-07-09,Approved,2025-07-12,,,,,
EI-0508,End-of-life software still in use - App-4470,,Medium,In Remediation,US,Enterprise,Patch Management,2025-12-16,2026-10-31,,R. Osei,O. Adeyemi,2026-06-30,,,,,2026-07-27,On Track,
EI-0509,Vendor SOC1/SOC2 exceptions not tracked - Vantage Processing,,High,Open,US,Technology Infrastructure,Third Party Risk,2026-01-22,2026-09-18,,S. Patel,F. Nakamura,2026-01-25,Approved - Sent to 2LOD,2026-01-26,2026-01-30,Fail,2026-07-15,On Track,
EI-0510,Sensitive data exposure in application logs - Mobile Banking App,F-1030,Low,Closed,EMEA,Enterprise,Data Protection,2026-04-22,2026-09-10,2026-08-02,K. Brooks,E. Marsh,2026-04-22,Approved,2026-04-27,,,,,
