Inquiry_ID,Channel,Inquiry_Type,Date_Received,Date_Due,Description,Analyst,Response_Owner,Domain,Status,Closed_Date,Response_Details,Exam_Audit_Name,Is_Client_Inquiry,Client_Name
REG-001,Regulatory,Post-Exam Clarification Request,2026-07-08,2026-08-07,Clarify an examiner follow-up question on Application Security findings.,S. Park,P. Sundaram,Application Security,Open,,,FFIEC IT Exam 2026,N,
REG-002,Regulatory,Post-Exam Clarification Request,2026-05-07,2026-06-11,Clarify an examiner follow-up question on Access Management findings.,T. Familusi,D. Whitfield,Access Management,Closed,2026-06-11,The documentation package was assembled from the Access Management control owner and submitted directly to the requester. Response was accepted on first submission with no clarification requested.,State DFS Cybersecurity Exam 2025,N,
REG-003,Regulatory,Examiner Document Request,2026-06-09,2026-07-10,Produce supporting documentation for Application Security controls for examiner review.,S. Park,P. Sundaram,Application Security,Closed,2026-07-06,Requested Application Security evidence was compiled and submitted with no exceptions noted. The requester confirmed receipt and closed the item without further follow-up. No resubmission was required.,FFIEC IT Exam 2026,N,
REG-004,Regulatory,Examiner Document Request,2026-01-03,2026-01-19,Produce supporting documentation for Third Party Risk controls for examiner review.,K. Reyes,M. Devereux,Third Party Risk,Closed,2026-01-15,Control owner walkthrough was completed and the summary was submitted on schedule. The requester accepted the response as sufficient to close the item. No follow-up items were opened.,FRB Safety & Soundness Exam 2026,N,
REG-005,Regulatory,Follow-up Request,2026-07-30,2026-08-18,Clarify an open point on the Application Security evidence submitted previously.,S. Park,P. Sundaram,Application Security,Open,,,OCC IT Examination 2026,N,
REG-006,Regulatory,Examiner Interview Request,2026-07-01,2026-07-31,Make the Third Party Risk control owner available for an examiner interview.,S. Park,M. Devereux,Third Party Risk,Open,,,FFIEC IT Exam 2026,N,
REG-007,Regulatory,Examiner Interview Request,2025-11-02,2025-11-20,Make the Governance & Documentation control owner available for an examiner interview.,H. Lindqvist,T. Okonjo,Governance & Documentation,Closed,2025-12-02,"Initial Governance & Documentation evidence was submitted but the requester flagged a gap in the sample population. A revised package was resubmitted and subsequently accepted, closing the item late.",State DFS Cybersecurity Exam 2025,N,
REG-008,Regulatory,Examiner Interview Request,2025-08-29,2025-09-18,Make the Network Security control owner available for an examiner interview.,K. Reyes,L. Bertrand,Network Security,Closed,2025-09-15,The documentation package was assembled from the Network Security control owner and submitted directly to the requester. Response was accepted on first submission with no clarification requested.,FRB Safety & Soundness Exam 2026,N,
REG-009,Regulatory,Examiner Document Request,2026-07-30,2026-08-28,Produce supporting documentation for Third Party Risk controls for examiner review.,T. Familusi,M. Devereux,Third Party Risk,Open,,,FFIEC IT Exam 2026,N,
REG-010,Regulatory,Pre-Exam Data Request,2026-07-07,2026-08-05,Submit the pre-exam data package covering Patch Management for the upcoming exam.,S. Park,J. Alvarez,Patch Management,Open,,,FRB Safety & Soundness Exam 2026,N,
REG-011,Regulatory,Follow-up Request,2026-07-19,2026-08-03,Clarify an open point on the Access Management evidence submitted previously.,K. Reyes,D. Whitfield,Access Management,Open,,,OCC IT Examination 2026,N,
REG-012,Regulatory,Post-Exam Clarification Request,2025-11-22,2025-12-15,Clarify an examiner follow-up question on Network Security findings.,T. Familusi,L. Bertrand,Network Security,Closed,2025-12-20,"The first response was returned for clarification on scope; the analyst worked with the Network Security control owner to resubmit a corrected version, which closed the item after the original due date.",FFIEC IT Exam 2026,N,
REG-013,Regulatory,Post-Exam Clarification Request,2026-05-03,2026-05-15,Clarify an examiner follow-up question on Network Security findings.,H. Lindqvist,L. Bertrand,Network Security,Closed,2026-05-09,Requested Network Security evidence was compiled and submitted with no exceptions noted. The requester confirmed receipt and closed the item without further follow-up. No resubmission was required.,CFPB Technology Risk Exam 2025,N,
