Response_ID,Inquiry_ID,Channel,Inquiry_Type,Date_Received,Date_Due,Description,Analyst,Response_Owner,Domain,Status,Closed_Date,Response_Details,Exam_Audit_Name,Is_Client_Inquiry,Client_Name
CLIR-001,CLI-001,Client,Due Diligence Questionnaire,2025-11-05,2025-12-01,Complete the annual due diligence questionnaire section on Access Management.,D. Marchetti,D. Whitfield,Access Management,Closed,2025-12-06,"The first response was returned for clarification on scope; the analyst worked with the Access Management control owner to resubmit a corrected version, which closed the item after the original due date.",Vantage Point Advisors – Annual DDQ 2026,Y,Vantage Point Advisors
CLIR-002,CLI-002,Client,Onsite Assessment Request,2025-09-27,2025-10-28,Support an onsite assessment covering Cloud Security for the client engagement.,K. Reyes,A. Novak,Cloud Security,Closed,2025-10-23,Control owner walkthrough was completed and the summary was submitted on schedule. The requester accepted the response as sufficient to close the item. No follow-up items were opened.,Acme Bank – Annual DDQ 2026,Y,Acme Bank
CLIR-003,CLI-008,Client,Security Questionnaire,2026-03-04,2026-03-31,Complete the client security questionnaire covering Cloud Security controls.,K. Reyes,A. Novak,Cloud Security,Closed,2026-03-30,Control owner walkthrough was completed and the summary was submitted on schedule. The requester accepted the response as sufficient to close the item. No follow-up items were opened.,Crestmark Financial – Annual Review 2025,Y,Crestmark Financial
CLIR-004,CLI-009,Client,Follow-up Request,2026-07-03,2026-07-28,Clarify an open point on the Access Management evidence submitted previously.,S. Park,D. Whitfield,Access Management,Closed,2026-07-31,Requester identified an inconsistency between the Access Management narrative and supporting evidence. A corrected submission was provided and the item was closed following a short delay.,Continental Trust Co. – Onboarding Review 2025,Y,Continental Trust Co.
CLIR-005,CLI-011,Client,Onsite Assessment Request,2026-04-30,2026-05-22,Support an onsite assessment covering Access Management for the client engagement.,D. Marchetti,D. Whitfield,Access Management,Closed,2026-05-21,Control owner walkthrough was completed and the summary was submitted on schedule. The requester accepted the response as sufficient to close the item. No follow-up items were opened.,Meridian Capital Partners – Annual DDQ 2026,Y,Meridian Capital Partners
CLIR-006,CLI-012,Client,Onsite Assessment Request,2026-02-04,2026-03-09,Support an onsite assessment covering Data Protection for the client engagement.,D. Marchetti,S. Okafor,Data Protection,Closed,2026-03-07,The documentation package was assembled from the Data Protection control owner and submitted directly to the requester. Response was accepted on first submission with no clarification requested.,Crestmark Financial – Annual DDQ 2026,Y,Crestmark Financial
CLIR-007,CLI-013,Client,Contract Risk Review Request,2026-01-04,2026-01-19,Provide Governance & Documentation control attestations to support the contract risk review.,K. Reyes,T. Okonjo,Governance & Documentation,Closed,2026-01-18,Control owner walkthrough was completed and the summary was submitted on schedule. The requester accepted the response as sufficient to close the item. No follow-up items were opened.,Harborview Asset Management – Annual DDQ 2026,Y,Harborview Asset Management
CLIR-008,CLI-014,Client,Security Questionnaire,2025-09-29,2025-10-23,Complete the client security questionnaire covering Patch Management controls.,D. Marchetti,J. Alvarez,Patch Management,Closed,2025-10-28,"Initial Patch Management evidence was submitted but the requester flagged a gap in the sample population. A revised package was resubmitted and subsequently accepted, closing the item late.",Meridian Capital Partners – Annual DDQ 2025,Y,Meridian Capital Partners
CLIR-009,CLI-015,Client,Onsite Assessment Request,2026-01-27,2026-02-19,Support an onsite assessment covering Application Security for the client engagement.,K. Reyes,P. Sundaram,Application Security,Closed,2026-02-25,"Initial Application Security evidence was submitted but the requester flagged a gap in the sample population. A revised package was resubmitted and subsequently accepted, closing the item late.",Harborview Asset Management – Annual Review 2025,Y,Harborview Asset Management
CLIR-010,CLI-017,Client,Contract Risk Review Request,2026-04-07,2026-04-28,Provide Third Party Risk control attestations to support the contract risk review.,H. Lindqvist,M. Devereux,Third Party Risk,Closed,2026-05-07,"Initial Third Party Risk evidence was submitted but the requester flagged a gap in the sample population. A revised package was resubmitted and subsequently accepted, closing the item late.",Continental Trust Co. – Annual DDQ 2026,Y,Continental Trust Co.
CLIR-011,CLI-018,Client,Contract Risk Review Request,2026-04-25,2026-05-14,Provide Cloud Security control attestations to support the contract risk review.,K. Reyes,A. Novak,Cloud Security,Closed,2026-05-10,The documentation package was assembled from the Cloud Security control owner and submitted directly to the requester. Response was accepted on first submission with no clarification requested.,Harborview Asset Management – Annual DDQ 2025,Y,Harborview Asset Management
CLIR-012,CLI-019,Client,Due Diligence Questionnaire,2025-12-28,2026-01-13,Complete the annual due diligence questionnaire section on Third Party Risk.,H. Lindqvist,M. Devereux,Third Party Risk,Closed,2026-01-24,"Initial Third Party Risk evidence was submitted but the requester flagged a gap in the sample population. A revised package was resubmitted and subsequently accepted, closing the item late.",Meridian Capital Partners – Annual DDQ 2026,Y,Meridian Capital Partners
CLIR-013,CLI-020,Client,Onsite Assessment Request,2026-04-28,2026-05-19,Support an onsite assessment covering Third Party Risk for the client engagement.,T. Familusi,M. Devereux,Third Party Risk,Closed,2026-05-13,Requested Third Party Risk evidence was compiled and submitted with no exceptions noted. The requester confirmed receipt and closed the item without further follow-up. No resubmission was required.,Continental Trust Co. – Security Assessment 2026,Y,Continental Trust Co.
CLIR-014,CLI-021,Client,Onsite Assessment Request,2026-02-26,2026-03-16,Support an onsite assessment covering Network Security for the client engagement.,T. Familusi,L. Bertrand,Network Security,Closed,2026-03-12,The documentation package was assembled from the Network Security control owner and submitted directly to the requester. Response was accepted on first submission with no clarification requested.,Meridian Capital Partners – Onboarding Review 2025,Y,Meridian Capital Partners
CLIR-015,CLI-022,Client,Due Diligence Questionnaire,2025-09-11,2025-10-01,Complete the annual due diligence questionnaire section on Network Security.,T. Familusi,L. Bertrand,Network Security,Closed,2025-10-13,Requester identified an inconsistency between the Network Security narrative and supporting evidence. A corrected submission was provided and the item was closed following a short delay.,Silverline Bank – Onboarding Review 2025,Y,Silverline Bank
