Response_ID,Inquiry_ID,Channel,Inquiry_Type,Date_Received,Date_Due,Description,Analyst,Response_Owner,Domain,Status,Closed_Date,Response_Details,Exam_Audit_Name,Is_Client_Inquiry,Client_Name
AUDR-001,AUD-002,Audit,Walkthrough / Interview Request,2026-01-15,2026-02-19,Schedule a walkthrough of the Data Protection process with the control owner.,K. Reyes,S. Okafor,Data Protection,Closed,2026-02-14,Control owner walkthrough was completed and the summary was submitted on schedule. The requester accepted the response as sufficient to close the item. No follow-up items were opened.,Third Party Risk Audit 2026,N,
AUDR-002,AUD-003,Audit,Evidence Request,2025-11-29,2026-01-01,Provide evidence of Third Party Risk control operation for the period under review.,T. Familusi,M. Devereux,Third Party Risk,Closed,2026-01-08,Requester identified an inconsistency between the Third Party Risk narrative and supporting evidence. A corrected submission was provided and the item was closed following a short delay.,FY2026 Internal IT Audit,N,
AUDR-003,AUD-004,Audit,Control Documentation Request,2026-01-06,2026-01-20,Provide current policy and procedure documentation for Network Security.,K. Reyes,L. Bertrand,Network Security,Closed,2026-01-30,"The first response was returned for clarification on scope; the analyst worked with the Network Security control owner to resubmit a corrected version, which closed the item after the original due date.",PCI DSS Assessment 2025,N,
AUDR-004,AUD-005,Audit,Evidence Request,2026-03-08,2026-04-01,Provide evidence of Network Security control operation for the period under review.,H. Lindqvist,L. Bertrand,Network Security,Closed,2026-03-26,Control owner walkthrough was completed and the summary was submitted on schedule. The requester accepted the response as sufficient to close the item. No follow-up items were opened.,External Audit – FY2025 Year-End,N,
AUDR-005,AUD-006,Audit,Follow-up Request,2026-05-04,2026-06-04,Clarify an open point on the Data Protection evidence submitted previously.,H. Lindqvist,S. Okafor,Data Protection,Closed,2026-06-11,"Initial Data Protection evidence was submitted but the requester flagged a gap in the sample population. A revised package was resubmitted and subsequently accepted, closing the item late.",FY2026 Internal IT Audit,N,
AUDR-006,AUD-007,Audit,Control Documentation Request,2026-03-15,2026-04-13,Provide current policy and procedure documentation for Patch Management.,S. Park,J. Alvarez,Patch Management,Closed,2026-04-10,Requested Patch Management evidence was compiled and submitted with no exceptions noted. The requester confirmed receipt and closed the item without further follow-up. No resubmission was required.,Business Continuity Audit 2025,N,
AUDR-007,AUD-009,Audit,Sample Testing Request,2025-09-23,2025-10-21,Provide the requested sample population for Cloud Security testing.,D. Marchetti,A. Novak,Cloud Security,Closed,2025-10-19,The documentation package was assembled from the Cloud Security control owner and submitted directly to the requester. Response was accepted on first submission with no clarification requested.,FY2026 Internal IT Audit,N,
AUDR-008,AUD-011,Audit,Walkthrough / Interview Request,2025-10-31,2025-11-25,Schedule a walkthrough of the Data Protection process with the control owner.,T. Familusi,S. Okafor,Data Protection,Closed,2025-11-25,Control owner walkthrough was completed and the summary was submitted on schedule. The requester accepted the response as sufficient to close the item. No follow-up items were opened.,SOX ITGC Audit 2026,N,
AUDR-009,AUD-012,Audit,Walkthrough / Interview Request,2026-05-22,2026-06-09,Schedule a walkthrough of the Application Security process with the control owner.,D. Marchetti,P. Sundaram,Application Security,Closed,2026-06-05,Requested Application Security evidence was compiled and submitted with no exceptions noted. The requester confirmed receipt and closed the item without further follow-up. No resubmission was required.,FY2026 Internal IT Audit,N,
AUDR-010,AUD-013,Audit,Evidence Request,2026-06-06,2026-07-09,Provide evidence of Patch Management control operation for the period under review.,H. Lindqvist,J. Alvarez,Patch Management,Closed,2026-07-06,The documentation package was assembled from the Patch Management control owner and submitted directly to the requester. Response was accepted on first submission with no clarification requested.,Business Continuity Audit 2025,N,
AUDR-011,AUD-014,Audit,Sample Testing Request,2025-10-01,2025-10-27,Provide the requested sample population for Governance & Documentation testing.,T. Familusi,T. Okonjo,Governance & Documentation,Closed,2025-10-22,Requested Governance & Documentation evidence was compiled and submitted with no exceptions noted. The requester confirmed receipt and closed the item without further follow-up. No resubmission was required.,FY2026 Internal IT Audit,N,
AUDR-012,AUD-015,Audit,Walkthrough / Interview Request,2026-01-19,2026-02-09,Schedule a walkthrough of the Data Protection process with the control owner.,D. Marchetti,S. Okafor,Data Protection,Closed,2026-02-20,Requester identified an inconsistency between the Data Protection narrative and supporting evidence. A corrected submission was provided and the item was closed following a short delay.,Third Party Risk Audit 2026,N,
AUDR-013,AUD-018,Audit,Control Documentation Request,2026-05-05,2026-05-20,Provide current policy and procedure documentation for Application Security.,H. Lindqvist,P. Sundaram,Application Security,Closed,2026-05-14,The documentation package was assembled from the Application Security control owner and submitted directly to the requester. Response was accepted on first submission with no clarification requested.,SOX ITGC Audit 2026,N,
AUDR-014,AUD-019,Audit,Sample Testing Request,2026-04-10,2026-05-14,Provide the requested sample population for Cloud Security testing.,K. Reyes,A. Novak,Cloud Security,Closed,2026-05-13,Requested Cloud Security evidence was compiled and submitted with no exceptions noted. The requester confirmed receipt and closed the item without further follow-up. No resubmission was required.,PCI DSS Assessment 2025,N,
AUDR-015,AUD-020,Audit,Control Documentation Request,2026-03-07,2026-04-07,Provide current policy and procedure documentation for Cloud Security.,H. Lindqvist,A. Novak,Cloud Security,Closed,2026-04-19,"The first response was returned for clarification on scope; the analyst worked with the Cloud Security control owner to resubmit a corrected version, which closed the item after the original due date.",External Audit – FY2025 Year-End,N,
AUDR-016,AUD-021,Audit,Follow-up Request,2026-02-12,2026-03-05,Clarify an open point on the Access Management evidence submitted previously.,D. Marchetti,D. Whitfield,Access Management,Closed,2026-03-02,Requested Access Management evidence was compiled and submitted with no exceptions noted. The requester confirmed receipt and closed the item without further follow-up. No resubmission was required.,External Audit – FY2025 Year-End,N,
AUDR-017,AUD-023,Audit,Walkthrough / Interview Request,2025-12-19,2026-01-20,Schedule a walkthrough of the Patch Management process with the control owner.,T. Familusi,J. Alvarez,Patch Management,Closed,2026-01-14,Control owner walkthrough was completed and the summary was submitted on schedule. The requester accepted the response as sufficient to close the item. No follow-up items were opened.,SOX ITGC Audit 2026,N,
